"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.696928917E0,-1.842006302E1,-9.636383057E-1,-3.815420532E1,4.237889456E1
2.706875917E0,-1.831853104E1,-1.012741089E0,-3.850234985E1,4.265003128E1
2.716821917E0,-1.829890060E1,-9.739837646E-1,-3.817419434E1,4.234462801E1
2.726768917E0,-1.823373032E1,-1.043380737E0,-3.819094849E1,4.233327428E1
2.736714917E0,-1.823373032E1,-1.043380737E0,-3.819094849E1,4.233327428E1
2.746661917E0,-1.817081833E1,-9.203186035E-1,-3.799649048E1,4.212788760E1
2.756607917E0,-1.824322128E1,-9.009857178E-1,-3.807162476E1,4.222647877E1
2.766553917E0,-1.837916183E1,-9.028778076E-1,-3.799487305E1,4.221633755E1
2.776500917E0,-1.823727798E1,-8.558654785E-1,-3.774600220E1,4.192960167E1
2.786446917E0,-1.812227249E1,-8.115081787E-1,-3.809030151E1,4.218941070E1
2.796393917E0,-1.843611526E1,-9.058380127E-1,-3.807583618E1,4.231406610E1
2.806339917E0,-1.826762009E1,-8.914794922E-1,-3.800070190E1,4.217290629E1
2.816286917E0,-1.834412003E1,-9.877014160E-1,-3.801028442E1,4.221686885E1
2.826232917E0,-1.830933762E1,-1.087478638E0,-3.775531006E1,4.197472920E1
2.836178917E0,-1.828516769E1,-9.764556885E-1,-3.804470825E1,4.222203985E1
2.846125917E0,-1.834437943E1,-1.033081055E0,-3.803247070E1,4.223804376E1
2.856071917E0,-1.828994370E1,-1.108886719E0,-3.793853760E1,4.213174937E1
2.866018917E0,-1.832963181E1,-1.108489990E0,-3.792965698E1,4.214098991E1
2.875964917E0,-1.813949966E1,-1.035263062E0,-3.789916992E1,4.202927906E1
2.885911917E0,-1.816097641E1,-9.780578613E-1,-3.812338257E1,4.223943607E1
2.895857917E0,-1.823920059E1,-9.585266113E-1,-3.788037109E1,4.205365294E1
2.905804917E0,-1.826749039E1,-9.975128174E-1,-3.788809204E1,4.207378941E1
2.915750917E0,-1.825320816E1,-9.630889893E-1,-3.797534180E1,4.214538804E1
2.925696917E0,-1.823118210E1,-9.445800781E-1,-3.800320435E1,4.216054759E1
2.935643917E0,-1.824445724E1,-1.040740967E0,-3.803952026E1,4.220128510E1
2.945589917E0,-1.824172592E1,-1.170135498E0,-3.791421509E1,4.209058668E1
2.955536917E0,-1.823445511E1,-1.049453735E0,-3.781860352E1,4.199813660E1
2.965482917E0,-1.834557724E1,-1.043395996E0,-3.782595825E1,4.205296657E1
2.975429917E0,-1.838366318E1,-1.018661499E0,-3.780935669E1,4.205406278E1
2.985375917E0,-1.840756607E1,-1.075439453E0,-3.791491699E1,4.216083478E1
2.995322917E0,-1.843986893E1,-1.212463379E0,-3.799670410E1,4.225219942E1
3.005268917E0,-1.844981003E1,-9.561004639E-1,-3.807250977E1,4.231814762E1
